time,base_pos,heading
14.155999999997594,[-0.02999058 -0.17759715  0.04790252],[-0.77274665 -3.14159265  3.14159265 -3.14159265]
14.156999999997593,[-0.03000637 -0.17765365  0.04786717],[-0.77199949 -3.14159265  3.14159265 -3.14159265]
14.157999999997593,[-0.03002438 -0.17770894  0.04783434],[-0.77132975 -3.14159265  3.14159265 -3.14159265]
14.158999999997592,[-0.0300411  -0.17776293  0.04780297],[-0.77066857 -3.14159265  3.14159265 -3.14159265]
14.159999999997591,[-0.03005657 -0.17781568  0.04777349],[-0.7700205  -3.14159265  3.14159265 -3.14159265]
14.16099999999759,[-0.03007375 -0.1778676   0.04774636],[-0.76943926 -3.14159265  3.14159265 -3.14159265]
14.16199999999759,[-0.03009001 -0.1779187   0.04772062],[-0.76886856 -3.14159265  3.14159265 -3.14159265]
14.16299999999759,[-0.0301044  -0.17796837  0.04769546],[-0.76826828 -3.14159265  3.14159265 -3.14159265]
14.16399999999759,[-0.03011716 -0.1780167   0.0476716 ],[-0.76765919 -3.14159265  3.14159265 -3.14159265]
14.164999999997589,[-0.03012845 -0.1780638   0.0476494 ],[-0.76705867 -3.14159265  3.14159265 -3.14159265]
14.165999999997588,[-0.03013845 -0.1781098   0.0476291 ],[-0.766479   -3.14159265  3.14159265 -3.14159265]
14.166999999997588,[-0.03014729 -0.1781548   0.04761083],[-0.76592797 -3.14159265  3.14159265 -3.14159265]
14.167999999997587,[-0.0301551  -0.17819893  0.04759462],[-0.76540961 -3.14159265  3.14159265 -3.14159265]
14.168999999997586,[-0.03016081 -0.1782416   0.04757959],[-0.76488524 -3.14159265  3.14159265 -3.14159265]
14.169999999997586,[-0.03016886 -0.17828338  0.04756653],[-0.76443289 -3.14159265  3.14159265 -3.14159265]
14.170999999997585,[-0.03017545 -0.17832415  0.04755465],[-0.76398906 -3.14159265  3.14159265 -3.14159265]
14.171999999997585,[-0.03018069 -0.17836399  0.04754433],[-0.76355933 -3.14159265  3.14159265 -3.14159265]
14.172999999997584,[-0.03018475 -0.17840302  0.0475357 ],[-0.76315137 -3.14159265  3.14159265 -3.14159265]
14.173999999997584,[-0.03018779 -0.17844139  0.04752877],[-0.76276948 -3.14159265  3.14159265 -3.14159265]
14.174999999997583,[-0.03018853 -0.17847851  0.04752275],[-0.76237422 -3.14159265  3.14159265 -3.14159265]
14.175999999997583,[-0.03019151 -0.17851496  0.04751817],[-0.76204107 -3.14159265  3.14159265 -3.14159265]
14.176999999997582,[-0.03019294 -0.17855063  0.04751447],[-0.76171097 -3.14159265  3.14159265 -3.14159265]
14.177999999997581,[-0.03019295 -0.17858563  0.04751202],[-0.7613901  -3.14159265  3.14159265 -3.14159265]
14.17899999999758,[-0.03019175 -0.17862009  0.0475109 ],[-0.76108626 -3.14159265  3.14159265 -3.14159265]
14.17999999999758,[-0.03018953 -0.17865419  0.0475111 ],[-0.76080366 -3.14159265  3.14159265 -3.14159265]
14.18099999999758,[-0.03018482 -0.17868731  0.04751192],[-0.76050237 -3.14159265  3.14159265 -3.14159265]
14.18199999999758,[-0.03017802 -0.17871958  0.047514  ],[-0.76020333 -3.14159265  3.14159265 -3.14159265]
14.182999999997579,[-0.03017317 -0.17875154  0.04751726],[-0.75996771 -3.14159265  3.14159265 -3.14159265]
14.183999999997578,[-0.03016696 -0.1787831   0.04752131],[-0.75974378 -3.14159265  3.14159265 -3.14159265]
14.184999999997578,[-0.03015957 -0.17881439  0.04752636],[-0.75953367 -3.14159265  3.14159265 -3.14159265]
14.185999999997577,[-0.03015122 -0.17884554  0.04753235],[-0.75934092 -3.14159265  3.14159265 -3.14159265]
14.186999999997576,[-0.03014028 -0.17887593  0.0475387 ],[-0.75912554 -3.14159265  3.14159265 -3.14159265]
14.187999999997576,[-0.03013135 -0.17890608  0.04754531],[-0.75895656 -3.14159265  3.14159265 -3.14159265]
14.188999999997575,[-0.03012083 -0.17893594  0.04755217],[-0.75878405 -3.14159265  3.14159265 -3.14159265]
14.189999999997575,[-0.03010896 -0.1789656   0.04755961],[-0.75861532 -3.14159265  3.14159265 -3.14159265]
14.190999999997574,[-0.03009605 -0.17899519  0.04756764],[-0.75845839 -3.14159265  3.14159265 -3.14159265]
14.191999999997574,[-0.03008237 -0.17902486  0.0475762 ],[-0.75831762 -3.14159265  3.14159265  3.14159265]
14.192999999997573,[-0.03006615 -0.17905396  0.04758482],[-0.7581534  -3.14159265  3.14159265  3.14159265]
